Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
03738876,07694037,03738876,03738876,07656566,,01555323,03738876,08462263,04700971,05473432,01994721,03738876,05473432,08588888,03721207,13216176,08864864,07656566,08864864
11571957,07861321,04435918,04455899,07861321,,10253758,04435918,08465934,02074515,04700971,01457791,04435918,04700971,11325636,05577418,07562551,04455899,10335951,07093692
05473432,02008054,04455899,03721207,00624843,,,11571957,,07972299,06494404,SC345129,11571957,07694037,02913195,02074515,,05358891,11027520,03738876
07954912,06810614,05473432,07954912,04813512,,,04455899,,10127417,10977717,04457732,04455899,09368140,07055859,06810614,,07954912,07824267,04435918
10014039,04813512,10188530,00764694,10534115,,,03721207,,04457732,07694037,04022713,03721207,11206817,04266636,02516125,,07656566,10865114,11571957
07656566,09794421,03721207,07852791,07399286,,,07954912,,06713360,09368140,04528745,07954912,05455699,00720550,11836729,,09198313,04876266,05473432
05577418,10513872,02543584,10865114,03385123,,,05577418,,05941100,11027520,01977248,05577418,06277216,04535102,11007348,,07694037,08743627,03721207
02787545,07972299,01994721,07326529,02752887,,,07048562,,01135015,07326529,03769338,07048562,07782570,OC374035,10161245,,06681649,08677926,02543584
10977717,10717076,07656566,08299940,06477712,,,10335951,,00237293,04813512,02704053,10335951,10127417,09143932,11368591,,09368140,04470718,01994721
05120063,06533522,05280148,01951401,07519421,,,06094202,,04545791,SC394938,05633846,06094202,06647770,12883473,04755466,,00624843,10555394,05358891
07694037,03769338,05577418,09794421,10590691,,,02008054,,06564547,06713991,03078095,07861321,10120255,05534540,11239466,,11027520,08993965,07954912
02008054,11678014,02787545,09882097,07213346,,,12333251,,03402844,02752887,06299727,02008054,09550454,00939789,07905111,,04430034,10345494,10014039
02074515,06621854,00764694,07972299,11789938,,,02074515,,02913195,07830600,SC151520,12333251,09599024,02685331,09056450,,07824267,SC345129,07656566
07824267,09239591,07048562,11489265,09814792,,,10865114,,09347757,05455699,03309338,02074515,10399030,10732693,05122865,,10865114,SC635220,05280148
07337344,00726306,03494244,09737449,00817224,,,06228090,,08677556,06277216,09430294,10865114,06713360,01498182,08677556,,07337344,10733517,02787545
06810614,09801256,11479139,07159152,11210639,,,06810614,,04445603,07782570,02773015,06228090,07159152,01252395,09643142,,04813512,08659637,00764694
02994788,08857016,04700971,08822385,06212915,,,01330646,,09643142,07972299,09085655,06810614,10413560,01334681,07657320,,08743627,05066363,03494244
07326529,07751906,11835842,00517311,08822385,,,11206817,,04410423,09814792,02253599,01330646,09586584,01662295,04805020,,11911532,04311124,SC131781
04876266,07431618,10335951,11836729,05066363,,,SC108528,,05644604,10127417,06613615,11206817,04410612,02515314,05631335,,07720934,08162666,11835842
04813512,07657320,06094202,00881861,07831451,,,12070380,,05631335,06647770,02151436,SC108528,03488384,03026495,07649534,,03385123,10627257,10335951
SC394938,02086506,04254622,11007348,09160432,,,06931341,,04266636,10120255,SC397025,12070380,SC596606,02938633,05190563,,01951401,06676382,06494404
09723338,09264136,05120063,10652129,10652129,,,05616891,,09061270,09550454,01852555,06931341,11007239,04167526,04807554,,11447778,11879680,09198313
07399286,04736768,01457791,04806233,11989176,,,08299940,,06252451,09599024,10439913,05616891,10293635,04020027,01562769,,08533299,08244070,06094202
08299940,04333775,07694037,05273104,10253758,,,07720934,,05123175,10399030,05738289,08299940,09863849,04214056,07280877,,07972299,10652129,04254622
06564069,12039699,07861321,02586361,07173069,,,02752887,,03066370,06713360,02884753,07720934,05451329,04354279,05123175,,07519421,07173069,07694037
08677926,04807554,09368140,10420782,SC596606,,,06805183,,09712483,10413560,02334147,02752887,08464712,05129606,SC253917,,06140955,07171714,06681649
06713991,08603189,03842190,10161245,11241187,,,01105821,,02100121,09586584,03339330,06805183,11832678,06269218,09241537,,08669878,05941100,02008054
07720934,12632173,00624843,11325636,11105797,,,09794421,,03618073,07283756,06821796,01105821,11952772,07129740,02451148,,05591607,09720289,09368140
03385123,11081150,11027520,05471903,05451329,,,03662079,,02685392,03488384,01567398,09794421,11437751,06953791,14361244,,10555394,09273553,03842190
